"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00021057","W06B4.2","unk",341.387,390.168,389.272,360.454,1.023,0.949
"WBGene00022416","Y102A11A.6","WAGO",45.838,61.078,63.19,38.184,-1.061,0.949
"WBGene00016276","C30G12.4","unk",2.463,12.254,10.022,7.405,1.159,0.949
"WBGene00018902","F55G1.6","CSR",1811.232,1618.567,1680.204,1703.706,-1.012,0.949
"WBGene00007962","C35D6.5","unk",3.709,1.764,4.011,2.744,1.249,0.949
"WBGene00018448","F45D11.1","unk",4.966,7.11,6.02,8.13,1.166,0.949
"WBGene00007462","ctsa-3.2","unk",14.893,22.209,23.075,10.849,-1.103,0.949
"WBGene00013589","Y80D3A.11","WAGO",1.233,2.632,2.005,0.922,-1.34,NA
"WBGene00007101","B0024.11","CSR",2547.003,2295.446,2400.947,2384.24,-1.011,0.949
"WBGene00007029","mys-1","CSR",2250.328,2041.765,2117.881,2122.175,-1.011,0.949
"WBGene00017126","E04F6.6","unk",273.095,289.707,292.955,256.606,-1.025,0.949
"WBGene00019465","acl-14","unk",2559.423,2557.777,2532.598,2532.826,-1.01,0.949
"WBGene00013697","dsbn-1","WAGO",1455.142,1418.594,1376.631,1460.023,-1.013,0.949
"WBGene00206460","F56H9.9","unk",0,1.644,0.997,0,-1.673,NA
"WBGene00018758","F53E10.1","unk",130.057,170.382,139.484,172.536,1.035,0.949
"WBGene00023343","T06A1.6","unk",1.229,0,0,1.866,1.62,NA
"WBGene00017413","F13A2.4","WAGO",145.361,113.721,114.574,134.067,-1.038,0.949
"WBGene00194906","Y53C12A.11","CSR",404.391,366.094,380.054,405.862,1.022,0.95
"WBGene00007769","C27C7.7","WAGO",29.721,22.114,33.098,22.755,1.081,0.95
"WBGene00022344","pals-40","unk",1.232,0.876,2.005,0.925,1.396,NA
"WBGene00007594","lgc-23","unk",4.961,7.097,2.006,8.154,-1.186,0.95
"WBGene00202495","T26H5.11","unk",0,0,0.625,0,1.786,NA
"WBGene00012227","W03H9.1","WAGO",4.973,13.37,9.031,7.195,-1.147,0.95
