"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Y116A8A.4",11.9988118871348,1.51457928876145,0.935721476298336,1.61862191594987,0.105528636700715,0.298479696190004
"Y59E9AL.3",444.860871790368,1.79783721370328,1.11111495758977,1.61804789092495,0.105652277147709,0.298782587308991
"R05H5.6",1.65622300620971,-4.12254708031766,2.54792295881731,-1.61800303500199,0.105661943597341,NA
"M18.7",4032.17471945966,0.293511193088654,0.181422485555608,1.61783249848977,0.105698700613417,0.298867049619798
"Y38F2AR.1",644.885228665653,0.4017670966633,0.248356818159154,1.61770109490546,0.1057270299339,0.298893161099293
"F26G1.7",244.87656577831,2.19743621230051,1.35844136824671,1.617615793854,0.105745423225434,0.298893161099293
"E02H1.5",904.943436691107,-0.430225122359809,0.265980144895754,-1.61750841412778,0.105768580905164,0.298893161099293
"C02C2.3",258.040088588928,0.80908064363226,0.500209825698385,1.61748250847059,0.10577416836199,0.298893161099293
"C08B11.2",1617.95953498942,-0.262018321680445,0.162020117918245,-1.61719621641467,0.105835932802992,0.299008241550563
"K04G7.3",6094.84273455538,-0.208831543384194,0.129136326299136,-1.61714019106017,0.105848023018564,0.299008241550563
"ZK792.7",107.51699663581,-0.440877035000975,0.2726516006687,-1.61699778735826,0.105878758526178,0.299048266336415
"T02E1.3",2791.39569444315,0.209358839393378,0.129493842329813,1.61674745012317,0.105932806878979,0.299153253178546
"ZK673.4",121.869331017229,0.383170924843352,0.237012143449246,1.61667212180377,0.105949074708905,0.299153253178546
"Y47G6A.22",1137.83316235777,0.354842592485696,0.219602376181299,1.61584131581867,0.10612862621327,0.299594366359921
"M199.4",761.635203061369,-1.63630798677631,1.01269486159538,-1.61579568419899,0.106138494979319,0.299594366359921
"C18A3.7",28.9576177928217,1.36100035542963,0.842540691180008,1.61535267041346,0.106234343552888,0.299818032437958
"F21F8.2",2.62331514567834,2.56986428964103,1.59155685003273,1.61468582764617,0.10637874819546,0.300178643688642
"F56A8.8",122.444498539071,-0.350645305106782,0.217236635671241,-1.61411680872023,0.106502092116096,0.300479722536363
"C04H4.1",3.88322659372309,-1.85617229526212,1.1501994345279,-1.61378300105318,0.106574502990496,0.300637029767376
"C17E4.2",132.852681247597,-0.682680568952114,0.423055555893326,-1.61369011573566,0.10659465897809,0.30064690456461
"F58E6.1",412.034638765403,-0.310948924762762,0.192756337434358,-1.61317095407384,0.106707371998017,0.300917789710389
"Y12A6A.2",12.1301481265155,-1.08631270043018,0.673520549362912,-1.61288724072002,0.1067690077215,0.301040633151371
"F35H12.4",537.449107687647,-0.287601987308546,0.178322773353894,-1.61281692685309,0.106784287522477,0.301040633151371
"F11G11.8",108.144483910187,1.8948278655921,1.17500949083551,1.61260643456143,0.106830039645751,0.301106556679247
"AC7.3",17.4416098192919,1.72301303418981,1.06849819645398,1.61255586570755,0.106841033490143,0.301106556679247
"E04F6.11",1312.45894423153,0.271072192514758,0.168112525396352,1.61244494945075,0.106865150209261,0.301127509589038
"C41C4.3",87.1383761828194,-0.482364756922804,0.29920849621323,-1.61213589529573,0.106932371160356,0.301261615035957
"M01B2.12",1.55715680552492,-4.54775960075231,2.8210631984761,-1.6120729245658,0.10694607174282,NA
"R11H6.1",7394.63500004026,0.388455488487651,0.240966483002495,1.61207269844092,0.106946120943461,0.301261615035957
"K07D4.6",1.99371497856329,-2.13177163223253,1.32240744208103,-1.61203844170585,0.106953574790325,NA
"ZK652.6",2048.57065622872,-0.211744286768424,0.131379424976703,-1.61170051403385,0.107027125782189,0.301442759790029
"D1081.10",5.39074577488354,2.19346716016349,1.36105765195146,1.61159019018668,0.107051146780643,0.301463377618936
"F13B10.2",68442.6743313038,0.180024981679837,0.11172669682702,1.61129780788704,0.107114828335841,0.301595658444903
"T11F1.6",1.53156479651243,-2.31790291050326,1.43859235528458,-1.61122982614817,0.107129639218521,NA
"F55F8.8",7.53685729760171,-1.21934304938705,0.757088761421486,-1.61056815464762,0.10727387943906,0.301879887923307
"F44C8.4",101.030213269757,-0.373990271538687,0.232212225854428,-1.61055375169238,0.107277020902534,0.301879887923307
"F08G2.1",4813.43347078176,-0.445817332633049,0.276827597552689,-1.61045118541043,0.107299393990136,0.301879887923307
"ZK131.5",4813.43347078176,-0.445817332633049,0.276827597552689,-1.61045118541043,0.107299393990136,0.301879887923307
"ZK131.9",4813.43347078176,-0.445817332633049,0.276827597552689,-1.61045118541043,0.107299393990136,0.301879887923307
"T02G5.8",2145.80957662823,0.390807869534638,0.242693175392791,1.61029608229456,0.107333234113764,0.301884265048827
"Y51A2D.12",19.8307232466181,-0.752132490362723,0.467078687798199,-1.61029074974125,0.107334397711117,0.301884265048827
"F39G3.8",167.117918083351,-0.393322059161959,0.244306934519867,-1.60995044997371,0.107408673970761,0.302046109027296
"Y71H10B.1",2472.83983603263,0.324574706069946,0.201624852918959,1.6097951287801,0.107442589012993,0.302094419668776
"Y47H9C.5",939.174625858459,-0.349544989742356,0.21715597507117,-1.60964942193185,0.10747441243187,0.302136835198207
"Y24D9A.8",4708.0008121292,0.178672442285409,0.111008425315927,1.60953947213388,0.107498431196532,0.302157300144596
"K08H2.3",404.757613313165,0.307427823699408,0.191042831248616,1.60920889671768,0.107570671697459,0.302313279590663
"T26A8.6",115.71784028041,-0.72273216146147,0.449165860621637,-1.60905408185124,0.107604516538018,0.302361321299465
"F48F5.4",26.0487295858337,1.03319621457665,0.642289405289435,1.60861475538595,0.107700605779677,0.302540748121838
"C10G8.6",46.2431584277738,-0.590153437201099,0.366871925948134,-1.60860887808715,0.107701891719624,0.302540748121838
"B0546.3",603.448587986342,-0.245253586096344,0.152481086364809,-1.60841971908292,0.107743285783211,0.302609934910959
"T27F6.2",80.7391317579969,-0.502737483610863,0.312609607882263,-1.60819588053163,0.107792285116909,0.302700457163242
"ZK185.4",2.06115324696343,3.26843802206431,2.03237597327905,1.60818572204974,0.10779450927583,NA
"F36H5.11",17.2119902143064,-0.813608498714043,0.505997658730627,-1.60792937413012,0.107850647654788,0.302775438081516
"Y48G10A.6",50.4519204573782,0.695794425418878,0.43273185071164,1.60791128333776,0.107854610284426,0.302775438081516
"Y38C1AB.8",558.472443084683,-0.233739822671344,0.14537467194843,-1.6078441969194,0.107869305983171,0.302775438081516
"T24D8.4",1.4164035933808,3.54657113639281,2.20588031836743,1.60778039808507,0.107883282986717,NA
"Y106G6E.5",2798.04004826573,-0.255659843154742,0.159017979657174,-1.60774173905314,0.107891753077727,0.30279136113278
"Y102A5C.19",73.121382373685,-0.538731203965635,0.335296620911709,-1.6067301916159,0.108113567599275,0.303366704295744
