"","Common_Name","N2_1","N2_2","prg-1 disl-2_1","prg-1 disl-2_2","prg-1 disl-2_3","Fold_Change","padj"
"B0336.9","swp-1",1977.45551781561,1692.42042496963,1602.8528300323,1430.82168360836,1139.1282250993,-1.31943970906794,0.00839815471387426
"ZK1058.4","ccdc-47",4842.7132511793,4372.29475861213,4180.88777139499,4049.14854865116,3992.14673885618,-1.12993001232302,0.00840192324916418
"F59E12.6","F59E12.6",722.983601188611,764.290884613295,617.598438635755,632.828659874839,580.866546056242,-1.2200827868628,0.00843214704883567
"Y37E11B.4","taf-2",1321.0153069235,1362.74727956051,1135.61629681343,1162.48193096649,989.722106176954,-1.22535533386467,0.00843548152401037
"T10B10.9","T10B10.9",0,0,1.89099311249321,15.5727095678755,7.02902319310155,46.3728400480437,0.00843548152401037
"F20C5.5","F20C5.5",44.8907044768362,35.5857362678405,10.9351224319069,16.3497737914205,15.9704818915485,-2.77919612923011,0.00844354829038849
"K06H7.3","vms-1",2575.66046338862,2477.82599044469,2242.51678623771,2178.28322108232,2150.74348395567,-1.15300879968872,0.0084469953677726
"ZK829.6","tgt-1",1076.89256892893,972.712229603483,885.877517986206,860.490329095982,850.676936622245,-1.18122831912127,0.00846351593292938
"K11H3.2","K11H3.2",11.9563845721693,0.849646683457062,15.7106119243884,30.7998838694194,22.7989035522594,3.91969520670074,0.00847321046537192
"Y50E8A.6","Y50E8A.6",0,0,7.95498113061142,5.10873659097621,11.2600115181401,43.0023027122748,0.00847761466809093
"C33G8.4","C33G8.4",60.7834502926083,82.4414346727023,116.56618813729,88.1896945938654,177.403056792242,1.75916343941423,0.00849430932228881
"F02E8.6","ncr-1",545.903993394585,636.785847317063,764.254666420828,777.481296949751,713.945021885703,1.26767601699175,0.00849614904360523
"EEED8.4","EEED8.4",183.059593589541,165.985002498566,117.249207883067,81.2426274062064,121.553431417191,-1.63244101428894,0.00851089642889253
"F26A1.14","F26A1.14",290.313482314219,266.010318654133,223.344645334217,213.29894874715,164.448605203134,-1.38437907393723,0.00851528881092925
"F17H10.1","F17H10.1",1308.69716174923,1402.64465559561,1219.48534243009,1166.43589622003,1028.62201807599,-1.19272889428562,0.00851654646745831
"C10C6.1","kin-4",3621.9635283829,3070.66811486716,2608.03662359739,3064.15125794632,2403.12760036585,-1.24256326879992,0.00853128238618014
"C29F7.1","C29F7.1",67.6703575318342,61.2626449206771,102.047535003615,123.812125910052,92.4682066955204,1.65004808759541,0.00853485125712393
"W09D10.5","W09D10.5",32.5273007456656,43.8100743962014,85.9740937148997,93.2074392346379,51.0914824840153,1.99045422372513,0.00854354789910419
"F29B9.4","psr-1",1642.31091871531,1395.81764439127,1217.94675281769,1230.058721933,1300.49287216981,-1.21356136075469,0.00857270727644648
"C25A1.1","C25A1.1",703.40014190717,595.437971919597,457.114050033562,530.970445038005,499.794209920884,-1.30677886298222,0.0085787674373138
"F09E10.8","toca-1",354.310519329413,361.989888346585,284.338728305156,265.674088751245,281.722472322734,-1.2922298501124,0.0085787674373138
"ZK593.2","ZK593.2",17.2500588600475,4.78484312897624,43.7332076520378,21.6823099117403,31.1045686507105,3.14065649413418,0.00857918286348686
"D1046.4","D1046.4",21.8338276400562,24.2944591411498,55.6592452949922,58.2505300401917,36.6680002618157,2.16313250694434,0.00858644888211312
"Y79H2A.6","arx-3",1488.57771432291,1512.26391385056,1331.52471362991,1178.10823253512,1262.59281513781,-1.19335354637009,0.00858707931511212
"K09E4.6","cpg-7",44.984978201717,49.2309777746332,97.1378676617138,58.0272955557178,122.535090334421,1.95689782407506,0.00859575365775076
"F59E10.2","cyn-4",2186.67735942908,2271.76039910328,2023.39533576557,1813.35931715557,1879.62660506932,-1.17036766556585,0.00860398753444851
"F08D12.8","fbxb-105",38.5725527125077,57.6015289844936,18.784850442303,17.4092319583744,19.2401267151685,-2.61698935705822,0.0086262781941373
"F46F5.10","F46F5.10",0,0,12.8701718019798,6.14123420098875,7.65100324047809,47.3800680278411,0.00862696561892751
"F59H6.9","bath-1",143.205217990924,147.518111591011,203.384192255243,194.676478894574,217.76506142408,1.41122577871702,0.00862930821540697
"F58D2.1","gadr-1",24.2513762968362,26.0164999214092,2.98087531505905,3.06618069712461,9.41393581110419,-4.84206187904943,0.00863466952892746
"C01F1.3","rml-4",278.62494754097,314.246244287621,446.220285027145,443.590040446955,354.111985189392,1.39373896565295,0.0086348113647286
"Y60A3A.8","Y60A3A.8",422.612739452779,369.746629175595,300.002742931051,303.979768002878,324.076436171268,-1.2757477184174,0.0086435226988154
"R10E8.8","R10E8.8",32.4754010115959,30.8530550683819,57.2389146030238,53.2884679970886,78.5421576179269,1.99595014520038,0.0086435226988154
"F23F12.8","F23F12.8",18.2551329355542,45.3383518185483,6.97672413835143,5.10384426373094,8.36099797980623,-4.69076312924962,0.00865011968588575
"Y113G7B.4","ftr-1",316.718883293759,268.724075430728,230.178241224761,201.803437896311,207.548696462759,-1.36798849022353,0.00865011968588575
"Y50D4C.1","unc-34",491.744813319892,428.547063618653,322.472106199219,368.93728992588,342.424485192183,-1.3321420088104,0.00865065710183425
"Y73F8A.21","nhr-5",128.737779833587,179.066309710666,235.804993661776,241.074175426354,220.884052953025,1.49963064353788,0.00866558142583302
"R09B3.4","ubc-12",615.475891743907,605.430069366141,438.801285261532,502.194778853218,462.949653638565,-1.30443800277699,0.00866949259864229
"D1025.7","nspc-18",68.4242438743562,99.2379166724439,157.512532181636,135.04788221639,119.629651858471,1.62569368308179,0.00871714128449469
"K05F6.3","fbxb-51",20.4956364048585,43.8583050095907,11.8660519047523,11.2640934792711,11.5358923492261,-2.82496559638577,0.008724172395764
"Y71D11A.5","lgc-46",35.142247826754,58.0496051345143,20.8550417194104,19.4233158982374,15.0969984433699,-2.548237386289,0.00873371855269264
