"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00018383","WAGO",447.355,-6.952,0,"WBGene00018383","WAGO",12.157,-0.277,0.911
"WBGene00018384","unk",6.061,0.532,0.782,"WBGene00018384","unk",166.576,0.112,0.863
"WBGene00018386","unk",39.675,-1.304,0.041,"WBGene00018386","unk",384.826,-0.17,0.642
"WBGene00018387","unk",42.743,-4.279,0,"WBGene00018387","unk",6.618,-2.243,0.331
"WBGene00018389","unk",2.079,-0.453,0.89,"WBGene00018389","unk",4.203,5.459,0.074
"WBGene00018390","WAGO",6599.927,-3.319,0,"WBGene00018390","WAGO",625.085,0.421,0.037
"WBGene00018391","unk",195.344,0.574,0.05,"WBGene00018391","unk",1910.433,-0.041,0.87
"WBGene00018392","unk",5.639,0.372,0.855,"WBGene00018392","unk",125.499,-0.688,0.154
"WBGene00018393","unk",43.427,-1.418,0.024,"WBGene00018393","unk",4818.807,-0.088,0.584
"WBGene00018394","unk",11588.474,0.177,0.259,"WBGene00018394","unk",9.645,0.107,0.972
"WBGene00018395","ALG",4.185,2.071,0.311,"WBGene00018395","ALG",4864.645,-0.167,0.126
"WBGene00018398","unk",19.481,0.463,0.681,"WBGene00018398","unk",536.105,-0.15,0.65
"WBGene00018399","unk",466.517,-0.508,0.014,"WBGene00018399","unk",637.144,-0.088,0.785
"WBGene00018402","unk",4.368,-1.282,0.548,"WBGene00018402","unk",21.642,-0.761,0.574
"WBGene00018407","unk",9.513,0.396,0.796,"WBGene00018407","unk",272.302,0.262,0.52
"WBGene00018408","CSR",86.349,0.318,0.539,"WBGene00018408","CSR",1142.571,0.042,0.887
"WBGene00018409","CSR",426.66,-0.297,0.186,"WBGene00018409","CSR",3852.202,0.005,0.982
"WBGene00018411","unk",5.05,-1.342,0.49,"WBGene00018411","unk",11.1,-0.463,0.852
"WBGene00018413","unk",4.565,-1.961,0.336,"WBGene00018413","unk",99.55,0.784,0.127
"WBGene00018417","unk",283.296,-0.329,0.224,"WBGene00018417","unk",836.417,-0.026,0.94
"WBGene00018418","unk",66.004,-0.405,0.532,"WBGene00018418","unk",220.949,-1.691,0
"WBGene00018419","unk",175.669,-0.68,0.032,"WBGene00018419","unk",427.086,0.062,0.887
"WBGene00018420","unk",1067.526,-1.464,0,"WBGene00018420","unk",2392.152,0.114,0.492
"WBGene00018421","CSR",272.391,0.098,0.759,"WBGene00018421","CSR",3010.337,-0.128,0.361
"WBGene00018422","CSR",78.257,-0.916,0.045,"WBGene00018422","CSR",292.207,-0.2,0.629
"WBGene00018423","ALG",574.283,0.643,0.001,"WBGene00018423","ALG",917.867,-0.07,0.819
"WBGene00018424","unk",45.053,0.046,0.951,"WBGene00018424","unk",2164.822,0.223,0.077
"WBGene00018426","CSR",1370.555,0.467,0.002,"WBGene00018426","CSR",13916.071,-0.059,0.619
"WBGene00018427","unk",779.114,0.951,0,"WBGene00018427","unk",1347.197,0.329,0.02
"WBGene00018429","unk",9.651,-6.442,0.001,"WBGene00018429","unk",11.263,-2.14,0.165
"WBGene00018430","unk",6.532,0.035,0.985,"WBGene00018430","unk",55.531,0.117,0.918
"WBGene00018431","CSR",108.562,0.831,0.032,"WBGene00018431","CSR",965.617,-0.073,0.792
"WBGene00018433","WAGO",731.754,-7.439,0,"WBGene00018433","WAGO",40.802,0.154,0.911
"WBGene00018435","unk",7.92,0.826,0.59,"WBGene00018435","unk",34.44,0.753,0.45
"WBGene00018436","WAGO",57.549,-6.552,0,"WBGene00018436","WAGO",31.229,-1.204,0.206
"WBGene00018437","WAGO",46.894,-4.659,0,"WBGene00018437","WAGO",112.66,-0.658,0.166
"WBGene00018438","CSR",27.014,-0.554,0.535,"WBGene00018438","CSR",389.014,-0.2,0.54
"WBGene00018439","WAGO",562.538,-3.817,0,"WBGene00018439","WAGO",39.462,0.273,0.825
"WBGene00018441","unk",7.936,-6.158,0.002,"WBGene00018441","unk",3.437,-0.924,0.818
"WBGene00018442","WAGO",74.411,-6.345,0,"WBGene00018442","WAGO",29.272,-0.504,0.698
"WBGene00018443","unk",68.904,-0.361,0.507,"WBGene00018443","unk",156.004,-0.326,0.518
"WBGene00018444","unk",9.576,-3.355,0.028,"WBGene00018444","unk",30.212,-0.244,0.871
"WBGene00018445","unk",6.676,-1.869,0.256,"WBGene00018445","unk",6.458,-1.24,0.63
"WBGene00018446","CSR",94.525,0.396,0.384,"WBGene00018446","CSR",804.76,-0.463,0.007
"WBGene00018448","unk",16.525,-2.987,0.005,"WBGene00018448","unk",6.556,0.222,0.949
"WBGene00018452","unk",13.844,-4.513,0.002,"WBGene00018452","unk",23.32,-0.977,0.412
"WBGene00018454","unk",5.619,-1.132,0.536,"WBGene00018454","unk",3.325,-2.505,0.494
"WBGene00018455","WAGO",106.031,-4.635,0,"WBGene00018455","WAGO",238.116,0.481,0.146
"WBGene00018456","WAGO",956.978,-6.452,0,"WBGene00018456","WAGO",42.222,0.219,0.881
"WBGene00018458","unk",18.146,-7.351,0,"WBGene00018458","unk",12.081,0.821,0.688
"WBGene00018462","unk",7.788,-2.146,0.173,"WBGene00018462","unk",48.5,-0.638,0.452
"WBGene00018465","unk",3.641,0.322,0.898,"WBGene00018465","unk",298.569,1.049,0
"WBGene00018466","unk",6.232,0.634,0.732,"WBGene00018466","unk",23.025,-0.704,0.639
"WBGene00018467","unk",30.309,0.392,0.656,"WBGene00018467","unk",265.32,-0.298,0.423
"WBGene00018468","unk",2353.287,-5.703,0,"WBGene00018468","unk",1231.702,-1.389,0
"WBGene00018470","unk",1.915,1.193,0.753,"WBGene00018470","unk",32.075,0.16,0.915
"WBGene00018472","unk",21.837,1.108,0.191,"WBGene00018472","unk",15.409,-4.057,0.006
"WBGene00018473","unk",28.216,-0.473,0.568,"WBGene00018473","unk",68.377,0.6,0.42
"WBGene00018474","unk",380.081,-0.139,0.605,"WBGene00018474","unk",554.357,0.142,0.679
"WBGene00018475","unk",374.768,-1.035,0,"WBGene00018475","unk",1165.664,0.196,0.266
"WBGene00018478","unk",2.892,-4.7,0.093,"WBGene00018478","unk",2.742,-2.257,0.555
"WBGene00018479","WAGO",113.776,-6.222,0,"WBGene00018479","WAGO",2.52,0.454,0.932
"WBGene00018481","unk",178.112,-0.412,0.204,"WBGene00018481","unk",462.371,0.12,0.749
"WBGene00018482","CSR",958.661,0.162,0.379,"WBGene00018482","CSR",4323.052,0.022,0.915
"WBGene00018483","unk",1107.997,0.325,0.043,"WBGene00018483","unk",1435.524,0.06,0.802
"WBGene00018485","unk",8.676,2.364,0.085,"WBGene00018485","unk",89.452,-1.039,0.038
"WBGene00018486","unk",4.608,0.336,0.883,"WBGene00018486","unk",10.464,-2.677,0.094
"WBGene00018487","unk",43.296,-0.05,0.949,"WBGene00018487","unk",51.341,-2.052,0.001
"WBGene00018488","unk",49.511,0.638,0.277,"WBGene00018488","unk",2834.298,0.183,0.206
"WBGene00018491","CSR",790.021,0.321,0.081,"WBGene00018491","CSR",9405.683,0.027,0.863
"WBGene00018496","WAGO",24.489,-5.347,0,"WBGene00018496","WAGO",10.241,6.739,0.002
"WBGene00018497","ALG",46.597,7.838,0,"WBGene00018497","ALG",8.159,6.458,0.005
"WBGene00018498","unk",7.241,0.455,0.791,"WBGene00018498","unk",7.78,4.988,0.033
"WBGene00018500","ALG",32.256,8.754,0,"WBGene00018500","ALG",6.667,2.269,0.355
"WBGene00018508","unk",756.167,-0.782,0,"WBGene00018508","unk",3539.039,-0.092,0.515
"WBGene00018509","CSR",434.343,0.285,0.236,"WBGene00018509","CSR",3100.876,-0.015,0.948
"WBGene00018510","unk",199.934,1.26,0,"WBGene00018510","unk",197.467,0.089,0.884
"WBGene00018511","unk",121.405,-0.378,0.329,"WBGene00018511","unk",1382.745,0.081,0.746
"WBGene00018512","CSR",1259.757,0.483,0.001,"WBGene00018512","CSR",2829.798,-0.078,0.654
"WBGene00018513","CSR",358.608,0.059,0.846,"WBGene00018513","CSR",519.203,0.147,0.655
"WBGene00018514","unk",3.874,0.446,0.854,"WBGene00018514","unk",28.65,-1.202,0.217
"WBGene00018516","CSR",91.001,-0.03,0.957,"WBGene00018516","CSR",303.844,-0.277,0.422
"WBGene00018518","unk",91.85,0.168,0.74,"WBGene00018518","unk",790.819,-0.156,0.529
"WBGene00018519","unk",81.936,0.833,0.072,"WBGene00018519","unk",16000.992,0.511,0
"WBGene00018520","CSR",40.031,0.958,0.13,"WBGene00018520","CSR",1410.014,-0.302,0.062
"WBGene00018521","unk",10.856,-1.715,0.188,"WBGene00018521","unk",11.745,-1.065,0.572
"WBGene00018522","unk",16.09,1.39,0.163,"WBGene00018522","unk",1591.187,0.497,0
"WBGene00018528","ALG",11.722,2.836,0.027,"WBGene00018528","ALG",8.321,6.436,0.005
"WBGene00018530","unk",19.114,0.755,0.437,"WBGene00018530","unk",2.501,4.703,0.291
"WBGene00018531","ALG",2.171,2.075,0.499,"WBGene00018531","ALG",22.9,7.892,0
"WBGene00018532","unk",165.75,-5.389,0,"WBGene00018532","unk",483.059,0.172,0.62
"WBGene00018533","unk",31.687,0.468,0.554,"WBGene00018533","unk",1355.396,-0.301,0.034
"WBGene00018537","WAGO",7902.921,1.921,0,"WBGene00018537","WAGO",7.374,1.12,0.642
"WBGene00018538","unk",2.229,-4.327,0.158,"WBGene00018538","unk",133.479,-0.323,0.597
"WBGene00018541","unk",6.152,-3.101,0.103,"WBGene00018541","unk",3.045,-0.574,0.914
"WBGene00018543","unk",2.742,0.817,0.768,"WBGene00018543","unk",25.636,-0.822,0.48
"WBGene00018547","unk",15.699,-0.306,0.799,"WBGene00018547","unk",199.92,-3.219,0
"WBGene00018548","ALG",5.214,6.12,0.007,"WBGene00018548","ALG",37.472,3.73,0
"WBGene00018560","unk",3.024,0.192,0.95,"WBGene00018560","unk",21.398,0.043,0.983
"WBGene00018561","unk",24.662,-0.135,0.895,"WBGene00018561","unk",106.364,-0.907,0.044
"WBGene00018562","unk",3.188,-3.304,0.231,"WBGene00018562","unk",59.122,0.458,0.583
"WBGene00018563","ALG",4.605,5.941,0.011,"WBGene00018563","ALG",31.845,4.948,0
"WBGene00018564","CSR",161.002,-0.856,0.007,"WBGene00018564","CSR",2045.553,-0.13,0.458
"WBGene00018565","unk",59.733,-9.071,0,"WBGene00018565","unk",3.966,-3.911,0.24
"WBGene00018566","unk",17.527,-0.088,0.943,"WBGene00018566","unk",120.618,0.265,0.715
"WBGene00018569","unk",6.069,0.789,0.658,"WBGene00018569","unk",80.764,0.05,0.961
"WBGene00018572","WAGO",280.909,0.654,0.007,"WBGene00018572","WAGO",33.79,0.159,0.925
"WBGene00018573","unk",3.113,-3.152,0.258,"WBGene00018573","unk",4.564,-1.105,0.737
"WBGene00018575","ALG",470.152,-3.742,0,"WBGene00018575","ALG",12.757,2.818,0.055
"WBGene00018576","unk",13.066,-0.145,0.92,"WBGene00018576","unk",67.554,0.073,0.949
"WBGene00018577","WAGO",889.488,-5.316,0,"WBGene00018577","WAGO",147.796,-0.016,0.984
"WBGene00018578","unk",410.824,-3.72,0,"WBGene00018578","unk",443.261,-0.199,0.51
"WBGene00018579","WAGO",180.938,-3.356,0,"WBGene00018579","WAGO",71.354,-0.25,0.775
"WBGene00018582","unk",27.342,0.79,0.328,"WBGene00018582","unk",114.471,-0.217,0.781
"WBGene00018585","CSR",255.793,-0.095,0.776,"WBGene00018585","CSR",1304.741,-0.009,0.98
"WBGene00018586","CSR",674.549,0.104,0.631,"WBGene00018586","CSR",4349.793,-0.079,0.602
"WBGene00018587","unk",6.008,0.351,0.862,"WBGene00018587","unk",61.15,-0.753,0.274
"WBGene00018589","WAGO",69.76,-1.797,0,"WBGene00018589","WAGO",32.813,0.161,0.917
"WBGene00018591","unk",3.845,-2.553,0.282,"WBGene00018591","unk",9.122,-3.159,0.094
"WBGene00018593","WAGO",384.098,-4.756,0,"WBGene00018593","WAGO",215.107,0.042,0.948
"WBGene00018594","unk",5.373,0.685,0.729,"WBGene00018594","unk",188.733,0.821,0.021
"WBGene00018595","CSR",223.296,-0.172,0.606,"WBGene00018595","CSR",278.386,0.436,0.165
"WBGene00018598","unk",335.663,-0.058,0.846,"WBGene00018598","unk",550.039,0.231,0.371
"WBGene00018599","CSR",468.532,0.918,0,"WBGene00018599","CSR",961.674,0.066,0.817
"WBGene00018602","unk",14.012,0.545,0.649,"WBGene00018602","unk",1652.725,0.009,0.973
"WBGene00018603","unk",1.946,-0.087,0.98,"WBGene00018603","unk",116.03,0.368,0.522
"WBGene00018604","unk",86.191,0.74,0.102,"WBGene00018604","unk",3763.23,-0.451,0
"WBGene00018605","unk",4.989,1.282,0.518,"WBGene00018605","unk",4432.97,-0.152,0.169
"WBGene00018606","WAGO",763.373,-6.435,0,"WBGene00018606","WAGO",87.396,-0.697,0.244
"WBGene00018607","unk",4.556,0.103,0.965,"WBGene00018607","unk",244.072,-0.251,0.54
"WBGene00018608","unk",83.295,-1.267,0.003,"WBGene00018608","unk",39.727,-0.308,0.803
"WBGene00018609","CSR",486.274,-0.379,0.083,"WBGene00018609","CSR",1912.64,-0.012,0.965
"WBGene00018610","unk",254.63,0.017,0.96,"WBGene00018610","unk",1783.936,0,0.999
"WBGene00018611","CSR",208.876,-0.035,0.925,"WBGene00018611","CSR",3486.696,-0.003,0.989
"WBGene00018612","CSR",1882.946,0.386,0.006,"WBGene00018612","CSR",2688.014,-0.148,0.267
"WBGene00018613","CSR",423.063,0.497,0.021,"WBGene00018613","CSR",2650.924,-0.056,0.771
"WBGene00018614","unk",24.573,-6.323,0,"WBGene00018614","unk",9.803,-0.621,0.794
"WBGene00018615","WAGO",1333.062,-6.58,0,"WBGene00018615","WAGO",108.631,0.271,0.683
"WBGene00018616","unk",11.946,-4.295,0.005,"WBGene00018616","unk",17.916,-1.988,0.091
"WBGene00018622","WAGO",284.878,-5.684,0,"WBGene00018622","WAGO",71.196,-0.445,0.541
"WBGene00018624","unk",3.463,-1.675,0.5,"WBGene00018624","unk",12.324,-0.667,0.74
"WBGene00018625","CSR",1052.091,0.39,0.016,"WBGene00018625","CSR",3149.97,-0.096,0.515
"WBGene00018626","unk",1.853,-0.161,0.967,"WBGene00018626","unk",3.664,-1.079,0.775
"WBGene00018627","unk",2.62,-4.561,0.112,"WBGene00018627","unk",5.204,-0.319,0.932
"WBGene00018628","unk",5304.373,0.586,0,"WBGene00018628","unk",2.953,-0.986,0.841
"WBGene00018630","unk",29.297,0.093,0.92,"WBGene00018630","unk",16.459,-5.048,0.001
"WBGene00018632","unk",425.96,-0.213,0.382,"WBGene00018632","unk",1323.15,-0.061,0.824
"WBGene00018634","WAGO",1207.913,-6.435,0,"WBGene00018634","WAGO",57.55,-0.303,0.755
"WBGene00018635","ALG",225.51,-0.075,0.828,"WBGene00018635","ALG",1894.303,0.013,0.959
"WBGene00018636","CSR",442.014,-0.16,0.502,"WBGene00018636","CSR",2647.7,-0.256,0.043
"WBGene00018637","unk",128.629,0.255,0.545,"WBGene00018637","unk",95.13,-0.161,0.854
"WBGene00018638","CSR",211.514,0.439,0.148,"WBGene00018638","CSR",1762.864,-0.023,0.932
"WBGene00018639","unk",2.854,-0.711,0.812,"WBGene00018639","unk",63.37,-1.083,0.075
"WBGene00018640","unk",3.289,1.188,0.621,"WBGene00018640","unk",10.235,-2.352,0.151
"WBGene00018641","unk",2.888,1.293,0.659,"WBGene00018641","unk",26.364,-1.679,0.093
"WBGene00018643","unk",2.149,0.192,0.954,"WBGene00018643","unk",53.389,1.838,0.004
"WBGene00018645","unk",1.868,-0.179,0.96,"WBGene00018645","unk",14.687,0.093,0.969
"WBGene00018646","unk",3.265,0.707,0.786,"WBGene00018646","unk",23.841,-0.749,0.553
"WBGene00018647","WAGO",3803.851,0.828,0,"WBGene00018647","WAGO",48.475,1.439,0.036
"WBGene00018648","WAGO",27248.201,1.222,0,"WBGene00018648","WAGO",43.029,1.719,0.029
"WBGene00018649","unk",14.353,1.331,0.205,"WBGene00018649","unk",3.429,5.162,0.117
"WBGene00018655","unk",3.641,-1.106,0.65,"WBGene00018655","unk",6.421,-0.599,0.863
"WBGene00018656","unk",17.104,-3.759,0.001,"WBGene00018656","unk",280.078,0.053,0.92
"WBGene00018657","CSR",33.444,0.708,0.335,"WBGene00018657","CSR",2079.414,-0.347,0.003
"WBGene00018658","WAGO",1036.448,-5.91,0,"WBGene00018658","WAGO",55.752,-0.463,0.595
"WBGene00018659","unk",662.625,-1.698,0,"WBGene00018659","unk",631.426,0.294,0.19
"WBGene00018660","unk",177.185,-1.45,0,"WBGene00018660","unk",152.521,0.678,0.113
"WBGene00018661","unk",169.223,-2.59,0,"WBGene00018661","unk",62.525,0.61,0.399
"WBGene00018664","WAGO",5326.513,-6.295,0,"WBGene00018664","WAGO",44.086,-0.754,0.389
"WBGene00018665","unk",133.093,0.231,0.574,"WBGene00018665","unk",196.005,0.13,0.815
"WBGene00018666","unk",155.675,-0.365,0.287,"WBGene00018666","unk",106.681,0.317,0.637
"WBGene00018667","WAGO",664.846,-3.465,0,"WBGene00018667","WAGO",194.441,0.1,0.878
"WBGene00018668","CSR",196.057,-0.947,0.003,"WBGene00018668","CSR",511.05,0.36,0.138
"WBGene00018669","unk",314.207,2.414,0,"WBGene00018669","unk",46.423,0.845,0.285
"WBGene00018670","unk",506.254,5.731,0,"WBGene00018670","unk",8.157,0.595,0.824
"WBGene00018672","unk",176.374,-0.435,0.186,"WBGene00018672","unk",1085.525,0.409,0.007
"WBGene00018674","CSR",223.609,0.726,0.007,"WBGene00018674","CSR",1029.311,0.332,0.043
"WBGene00018675","unk",16.3,0.821,0.431,"WBGene00018675","unk",12.13,-1.873,0.225
"WBGene00018678","CSR",707.828,0.458,0.011,"WBGene00018678","CSR",1131.15,0.116,0.594
"WBGene00018679","CSR",264.938,0.674,0.008,"WBGene00018679","CSR",838.383,-0.049,0.88
"WBGene00018680","CSR",458.607,1.113,0,"WBGene00018680","CSR",323.457,0.023,0.966
"WBGene00018681","unk",973.99,-0.421,0.012,"WBGene00018681","unk",1362.24,-0.051,0.863
"WBGene00018682","unk",21.186,-0.938,0.346,"WBGene00018682","unk",384.974,0.068,0.895
"WBGene00018683","unk",10.267,-0.539,0.702,"WBGene00018683","unk",10.463,0.413,0.875
"WBGene00018688","ERGO",1102.375,0.631,0,"WBGene00018688","ERGO",16.213,-0.569,0.75
"WBGene00018689","CSR",26.958,1.912,0.01,"WBGene00018689","CSR",328.874,-0.158,0.698
"WBGene00018690","ERGO",595.812,-0.479,0.022,"WBGene00018690","ERGO",11.105,0.288,0.913
"WBGene00018692","unk",49.518,1.036,0.059,"WBGene00018692","unk",33.284,-0.158,0.921
"WBGene00018694","unk",3.664,-0.013,0.997,"WBGene00018694","unk",19.609,-0.009,0.997
"WBGene00018697","unk",111.097,-5.354,0,"WBGene00018697","unk",44.131,-0.546,0.587
"WBGene00018698","ALG",351.457,-0.164,0.549,"WBGene00018698","ALG",2649.533,-0.011,0.963
"WBGene00018700","unk",1078.965,-0.7,0,"WBGene00018700","unk",6733.773,0.238,0.008
"WBGene00018701","CSR",53.398,-0.602,0.291,"WBGene00018701","CSR",4509.078,-0.087,0.63
"WBGene00018703","CSR",69.795,0.772,0.138,"WBGene00018703","CSR",631.634,-0.118,0.691
"WBGene00018704","WAGO",450.191,-5.048,0,"WBGene00018704","WAGO",214.274,0.547,0.1
"WBGene00018707","unk",9.343,0.931,0.507,"WBGene00018707","unk",46.379,1.658,0.012
"WBGene00018708","unk",5.758,-0.178,0.931,"WBGene00018708","unk",16.446,2.033,0.105
"WBGene00018710","CSR",102.206,0.043,0.935,"WBGene00018710","CSR",452.158,-0.162,0.674
"WBGene00018711","WAGO",2771.291,-6.613,0,"WBGene00018711","WAGO",13.239,-0.834,0.649
"WBGene00018712","WAGO",494.93,-5.212,0,"WBGene00018712","WAGO",9.591,-0.861,0.707
"WBGene00018713","unk",5.396,2.105,0.231,"WBGene00018713","unk",31.988,-1.194,0.186
"WBGene00018714","CSR",55.823,-0.896,0.096,"WBGene00018714","CSR",91.375,-0.215,0.804
"WBGene00018715","unk",3.257,0.349,0.895,"WBGene00018715","unk",18.776,-0.488,0.782
"WBGene00018716","unk",94.927,-4.144,0,"WBGene00018716","unk",42.105,-0.445,0.666
"WBGene00018717","CSR",18.124,-0.241,0.832,"WBGene00018717","CSR",190.21,-0.594,0.105
"WBGene00018718","unk",10.148,0.222,0.887,"WBGene00018718","unk",471.23,0.129,0.705
"WBGene00018719","unk",101.277,-1.96,0,"WBGene00018719","unk",251.842,-0.871,0.002
"WBGene00018720","unk",38.835,-2.348,0,"WBGene00018720","unk",16.281,-0.305,0.884
"WBGene00018721","CSR",255.863,0.187,0.538,"WBGene00018721","CSR",2106.716,-0.023,0.923
"WBGene00018723","unk",80.292,-0.41,0.41,"WBGene00018723","unk",131.789,0.432,0.388
"WBGene00018727","unk",5.679,0.202,0.921,"WBGene00018727","unk",12.484,-2.296,0.118
"WBGene00018728","unk",4.524,-0.484,0.828,"WBGene00018728","unk",9.324,-0.979,0.663
"WBGene00018734","unk",248.404,0.187,0.552,"WBGene00018734","unk",304.539,-0.236,0.545
"WBGene00018735","CSR",28.157,-0.035,0.971,"WBGene00018735","CSR",669.983,-0.533,0.004
"WBGene00018738","unk",2.07,1.326,0.684,"WBGene00018738","unk",45.505,-0.135,0.917
"WBGene00018739","unk",18.016,0.162,0.888,"WBGene00018739","unk",355.758,0.41,0.154
"WBGene00018740","unk",106.937,-0.266,0.546,"WBGene00018740","unk",859.294,-0.347,0.046
"WBGene00018742","unk",225.789,-4.28,0,"WBGene00018742","unk",20.525,-2.016,0.076
"WBGene00018743","unk",136.573,-3.543,0,"WBGene00018743","unk",426.515,-1.408,0
"WBGene00018744","unk",7.849,-2.903,0.067,"WBGene00018744","unk",114.187,-0.328,0.596
"WBGene00018745","ALG",8.15,3.136,0.047,"WBGene00018745","ALG",9.379,3.066,0.08
"WBGene00018746","unk",24.708,-1.075,0.191,"WBGene00018746","unk",92.81,-0.495,0.412
"WBGene00018747","unk",4.627,-1.983,0.324,"WBGene00018747","unk",6.234,-2.971,0.191
"WBGene00018749","unk",2.409,-4.44,0.136,"WBGene00018749","unk",10.508,-1.199,0.57
"WBGene00018750","WAGO",108.363,-8.487,0,"WBGene00018750","WAGO",14.51,-0.641,0.737
"WBGene00018755","unk",11.374,-0.04,0.98,"WBGene00018755","unk",160.247,0.801,0.025
"WBGene00018756","unk",261.917,0.232,0.42,"WBGene00018756","unk",1283.526,0.192,0.308
"WBGene00018757","unk",84.661,-1.318,0.002,"WBGene00018757","unk",483.673,-0.391,0.094
"WBGene00018758","unk",54.396,-0.402,0.505,"WBGene00018758","unk",153.115,0.05,0.949
"WBGene00018760","WAGO",12.428,-3.644,0.007,"WBGene00018760","WAGO",72.069,0.149,0.885
"WBGene00018761","WAGO",676.522,0.699,0,"WBGene00018761","WAGO",3.353,-1.244,0.773
"WBGene00018762","CSR",352.698,0.353,0.135,"WBGene00018762","CSR",399.41,0.045,0.923
"WBGene00018763","unk",20.343,0.236,0.822,"WBGene00018763","unk",47.176,-0.739,0.371
"WBGene00018764","unk",863.633,-0.996,0,"WBGene00018764","unk",3598.062,0.034,0.885
"WBGene00018765","unk",165.66,0.044,0.916,"WBGene00018765","unk",951.477,0.371,0.034
"WBGene00018766","unk",58.346,-3.704,0,"WBGene00018766","unk",22.679,-0.201,0.912
"WBGene00018767","WAGO",431.302,-4.622,0,"WBGene00018767","WAGO",7.169,0.662,0.82
"WBGene00018769","CSR",297.264,1.285,0,"WBGene00018769","CSR",844.556,-0.08,0.775
"WBGene00018771","WAGO",79.122,-3.383,0,"WBGene00018771","WAGO",4.738,0.579,0.878
"WBGene00018772","WAGO",11445.491,1.706,0,"WBGene00018772","WAGO",28.057,-0.097,0.954
"WBGene00018773","ALG",595.129,-4.445,0,"WBGene00018773","ALG",15.63,3.044,0.019
"WBGene00018774","unk",67.979,1.61,0.001,"WBGene00018774","unk",17.71,0.513,0.769
"WBGene00018776","CSR",566.507,0.093,0.688,"WBGene00018776","CSR",2632.068,-0.251,0.032
"WBGene00018777","CSR",5080.002,3.228,0,"WBGene00018777","CSR",784.33,0.13,0.617
"WBGene00018778","unk",1767.847,-0.944,0,"WBGene00018778","unk",2865.274,-0.106,0.465
"WBGene00018779","unk",7.28,0.329,0.856,"WBGene00018779","unk",148.325,0.17,0.807
"WBGene00018781","CSR",1634.099,0.604,0,"WBGene00018781","CSR",454.972,-0.063,0.879
"WBGene00018782","CSR",344.85,-0.055,0.861,"WBGene00018782","CSR",6605.881,-0.189,0.044
"WBGene00018783","unk",47.201,4.192,0,"WBGene00018783","unk",18.813,2.573,0.026
"WBGene00018784","CSR",65.512,0.012,0.985,"WBGene00018784","CSR",741.401,0.016,0.965
"WBGene00018785","CSR",168.893,-0.443,0.182,"WBGene00018785","CSR",883.122,-0.013,0.972
"WBGene00018786","CSR",23.219,0.944,0.261,"WBGene00018786","CSR",27.127,0.863,0.472
"WBGene00018787","unk",65.053,-2.041,0,"WBGene00018787","unk",49.444,-1.01,0.157
"WBGene00018788","unk",121.121,-1.24,0.001,"WBGene00018788","unk",130.485,-0.274,0.644
"WBGene00018789","unk",3.149,0.326,0.905,"WBGene00018789","unk",43.658,-0.248,0.841
"WBGene00018791","unk",27.867,-4.497,0,"WBGene00018791","unk",3.398,-1.928,0.578
"WBGene00018792","ALG",3.975,1.556,0.459,"WBGene00018792","ALG",9.34,2.31,0.205
"WBGene00018793","CSR",164.603,0.554,0.108,"WBGene00018793","CSR",813.669,0.047,0.885
"WBGene00018794","CSR",1115.8,-0.469,0.005,"WBGene00018794","CSR",743.942,-0.214,0.327
"WBGene00018795","CSR",45.415,-0.523,0.409,"WBGene00018795","CSR",171.01,0.098,0.881
"WBGene00018797","WAGO",160.902,-2.052,0,"WBGene00018797","WAGO",2259.598,0.177,0.197
"WBGene00018798","unk",8.753,-3.08,0.045,"WBGene00018798","unk",9.015,0.607,0.808
"WBGene00018802","CSR",568.337,0.172,0.422,"WBGene00018802","CSR",1969.686,-0.027,0.909
"WBGene00018803","WAGO",1072.405,-0.151,0.447,"WBGene00018803","WAGO",149.458,-1.155,0.001
"WBGene00018804","WAGO",5932.326,1.764,0,"WBGene00018804","WAGO",50.534,0.349,0.731
"WBGene00018805","WAGO",104.189,-2.232,0,"WBGene00018805","WAGO",87.048,0.165,0.849
"WBGene00018806","CSR",616.44,0.268,0.181,"WBGene00018806","CSR",992.029,0.024,0.944
"WBGene00018807","WAGO",436.093,-4.816,0,"WBGene00018807","WAGO",62.348,0.004,0.998
"WBGene00018808","CSR",60.319,-0.101,0.877,"WBGene00018808","CSR",588.467,-0.041,0.915
"WBGene00018811","WAGO",156.727,1.366,0,"WBGene00018811","WAGO",9308.248,0.305,0.001
"WBGene00018812","CSR",1380.734,0.306,0.052,"WBGene00018812","CSR",1276.873,0.179,0.368
"WBGene00018813","WAGO",263.908,-3.767,0,"WBGene00018813","WAGO",356.105,0.051,0.923
"WBGene00018814","unk",509.16,-0.904,0,"WBGene00018814","unk",384.609,0.323,0.262
"WBGene00018819","unk",402.679,0.094,0.729,"WBGene00018819","unk",424.422,-0.073,0.865
"WBGene00018823","unk",20.025,0.799,0.404,"WBGene00018823","unk",2461.065,0.565,0
"WBGene00018827","CSR",147.657,0.651,0.068,"WBGene00018827","CSR",801.158,0.345,0.057
"WBGene00018828","unk",10.72,-0.161,0.915,"WBGene00018828","unk",47.363,-0.431,0.656
"WBGene00018830","CSR",507.598,-0.265,0.233,"WBGene00018830","CSR",339.773,0.311,0.357
"WBGene00018831","unk",126.897,0.295,0.469,"WBGene00018831","unk",374.332,0.423,0.117
