"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00008001","ALG",22.306,4.396,0,"WBGene00008001","ALG",10.712,6.797,0.002
"WBGene00008003","unk",3403.975,-1.019,0,"WBGene00008003","unk",563.606,0.103,0.758
"WBGene00008005","CSR",2253.294,0.79,0,"WBGene00008005","CSR",3154.92,-0.105,0.453
"WBGene00008006","CSR",945.868,0.523,0.001,"WBGene00008006","CSR",2508.71,0.143,0.291
"WBGene00008007","WAGO",5382.84,-0.487,0,"WBGene00008007","WAGO",43.678,0.081,0.954
"WBGene00008008","unk",170.836,-0.326,0.353,"WBGene00008008","unk",220.855,-0.002,0.999
"WBGene00008010","WAGO",18499.076,1.888,0,"WBGene00008010","WAGO",299.606,4.878,0
"WBGene00008013","unk",28.74,0.491,0.546,"WBGene00008013","unk",8.427,3.32,0.084
"WBGene00008014","unk",2.22,-1.414,0.635,"WBGene00008014","unk",3.14,-2.479,0.477
"WBGene00008016","unk",3.266,-3.223,0.24,"WBGene00008016","unk",57.922,-1.595,0.007
"WBGene00008017","unk",2.241,1.417,0.634,"WBGene00008017","unk",10.264,1.709,0.326
"WBGene00008018","unk",30.239,-1.901,0.008,"WBGene00008018","unk",133.688,-0.675,0.142
"WBGene00008020","unk",50.166,-4.744,0,"WBGene00008020","unk",49.649,0.654,0.426
"WBGene00008023","unk",5.09,-5.518,0.016,"WBGene00008023","unk",6.15,1.544,0.587
"WBGene00008031","unk",4.472,-5.331,0.025,"WBGene00008031","unk",38.383,-0.116,0.934
"WBGene00008032","unk",7.986,-0.969,0.525,"WBGene00008032","unk",1641.572,0.538,0
"WBGene00008033","unk",12.906,-2.33,0.044,"WBGene00008033","unk",46.939,-0.322,0.77
"WBGene00008034","unk",226.555,-0.109,0.759,"WBGene00008034","unk",2197.342,-0.128,0.397
"WBGene00008035","CSR",3181.895,0.023,0.895,"WBGene00008035","CSR",3217.458,0.023,0.916
"WBGene00008036","unk",33.463,3.43,0,"WBGene00008036","unk",15.384,-0.102,0.966
"WBGene00008041","CSR",50.704,-1.555,0.005,"WBGene00008041","CSR",817.424,-0.039,0.911
"WBGene00008042","unk",4.65,-0.372,0.867,"WBGene00008042","unk",131.323,0.403,0.467
"WBGene00008043","unk",1.844,-1.026,0.76,"WBGene00008043","unk",31.476,1.349,0.146
"WBGene00008045","unk",5.171,0.132,0.952,"WBGene00008045","unk",24.113,-0.524,0.732
"WBGene00008048","unk",80.607,-0.463,0.338,"WBGene00008048","unk",4.359,1.3,0.702
"WBGene00008050","unk",27.408,-1.71,0.047,"WBGene00008050","unk",28.846,0.629,0.606
"WBGene00008051","WAGO",29.8,-1.319,0.101,"WBGene00008051","WAGO",39.849,0.22,0.869
"WBGene00008052","unk",235.886,-0.462,0.094,"WBGene00008052","unk",2721.699,0.038,0.852
"WBGene00008053","ALG",499.141,0.047,0.859,"WBGene00008053","ALG",11703.172,-0.134,0.146
"WBGene00008061","unk",1333.93,0.791,0,"WBGene00008061","unk",1506.414,-0.186,0.235
"WBGene00008062","CSR",951.476,0.731,0,"WBGene00008062","CSR",985.752,-0.104,0.687
"WBGene00008063","ALG",3.465,5.527,0.034,"WBGene00008063","ALG",5.071,5.723,0.036
"WBGene00008064","unk",42.135,-3.713,0,"WBGene00008064","unk",4.979,-2.054,0.45
"WBGene00008066","unk",11.557,-0.225,0.877,"WBGene00008066","unk",13.173,-0.699,0.713
"WBGene00008068","unk",8.672,0.484,0.759,"WBGene00008068","unk",12.011,0.592,0.78
"WBGene00008070","unk",26.662,-1.999,0.015,"WBGene00008070","unk",9.543,-0.345,0.903
